,idd,zoom,xtile,ytile,topleft_x,topleft_y,bottomright_x,bottomright_y
id0,0,19,154392,197033,-73.9874267578125,40.75922048765219,-73.98674011230469,40.75870037916101
id1,1,19,154392,197034,-73.9874267578125,40.75870037916101,-73.98674011230469,40.75818026660038
id2,2,19,154392,197035,-73.9874267578125,40.75818026660038,-73.98674011230469,40.75766014997031
id3,3,19,154392,197036,-73.9874267578125,40.75766014997031,-73.98674011230469,40.757140029270815
id4,4,19,154392,197037,-73.9874267578125,40.757140029270815,-73.98674011230469,40.75661990450191
id5,5,19,154392,197038,-73.9874267578125,40.75661990450191,-73.98674011230469,40.75609977566359
id6,6,19,154392,197039,-73.9874267578125,40.75609977566359,-73.98674011230469,40.75557964275589
id7,7,19,154392,197040,-73.9874267578125,40.75557964275589,-73.98674011230469,40.7550595057788
id8,8,19,154393,197033,-73.98674011230469,40.75922048765219,-73.98605346679688,40.75870037916101
id9,9,19,154393,197034,-73.98674011230469,40.75870037916101,-73.98605346679688,40.75818026660038
id10,10,19,154393,197035,-73.98674011230469,40.75818026660038,-73.98605346679688,40.75766014997031
id11,11,19,154393,197036,-73.98674011230469,40.75766014997031,-73.98605346679688,40.757140029270815
id12,12,19,154393,197037,-73.98674011230469,40.757140029270815,-73.98605346679688,40.75661990450191
id13,13,19,154393,197038,-73.98674011230469,40.75661990450191,-73.98605346679688,40.75609977566359
id14,14,19,154393,197039,-73.98674011230469,40.75609977566359,-73.98605346679688,40.75557964275589
id15,15,19,154393,197040,-73.98674011230469,40.75557964275589,-73.98605346679688,40.7550595057788
id16,16,19,154394,197033,-73.98605346679688,40.75922048765219,-73.98536682128906,40.75870037916101
id17,17,19,154394,197034,-73.98605346679688,40.75870037916101,-73.98536682128906,40.75818026660038
id18,18,19,154394,197035,-73.98605346679688,40.75818026660038,-73.98536682128906,40.75766014997031
id19,19,19,154394,197036,-73.98605346679688,40.75766014997031,-73.98536682128906,40.757140029270815
id20,20,19,154394,197037,-73.98605346679688,40.757140029270815,-73.98536682128906,40.75661990450191
id21,21,19,154394,197038,-73.98605346679688,40.75661990450191,-73.98536682128906,40.75609977566359
id22,22,19,154394,197039,-73.98605346679688,40.75609977566359,-73.98536682128906,40.75557964275589
id23,23,19,154394,197040,-73.98605346679688,40.75557964275589,-73.98536682128906,40.7550595057788
id24,24,19,154395,197033,-73.98536682128906,40.75922048765219,-73.98468017578125,40.75870037916101
id25,25,19,154395,197034,-73.98536682128906,40.75870037916101,-73.98468017578125,40.75818026660038
id26,26,19,154395,197035,-73.98536682128906,40.75818026660038,-73.98468017578125,40.75766014997031
id27,27,19,154395,197036,-73.98536682128906,40.75766014997031,-73.98468017578125,40.757140029270815
id28,28,19,154395,197037,-73.98536682128906,40.757140029270815,-73.98468017578125,40.75661990450191
id29,29,19,154395,197038,-73.98536682128906,40.75661990450191,-73.98468017578125,40.75609977566359
id30,30,19,154395,197039,-73.98536682128906,40.75609977566359,-73.98468017578125,40.75557964275589
id31,31,19,154395,197040,-73.98536682128906,40.75557964275589,-73.98468017578125,40.7550595057788
id32,32,19,154396,197033,-73.98468017578125,40.75922048765219,-73.98399353027344,40.75870037916101
id33,33,19,154396,197034,-73.98468017578125,40.75870037916101,-73.98399353027344,40.75818026660038
id34,34,19,154396,197035,-73.98468017578125,40.75818026660038,-73.98399353027344,40.75766014997031
id35,35,19,154396,197036,-73.98468017578125,40.75766014997031,-73.98399353027344,40.757140029270815
id36,36,19,154396,197037,-73.98468017578125,40.757140029270815,-73.98399353027344,40.75661990450191
id37,37,19,154396,197038,-73.98468017578125,40.75661990450191,-73.98399353027344,40.75609977566359
id38,38,19,154396,197039,-73.98468017578125,40.75609977566359,-73.98399353027344,40.75557964275589
id39,39,19,154396,197040,-73.98468017578125,40.75557964275589,-73.98399353027344,40.7550595057788
id40,40,19,154397,197033,-73.98399353027344,40.75922048765219,-73.98330688476562,40.75870037916101
id41,41,19,154397,197034,-73.98399353027344,40.75870037916101,-73.98330688476562,40.75818026660038
id42,42,19,154397,197035,-73.98399353027344,40.75818026660038,-73.98330688476562,40.75766014997031
id43,43,19,154397,197036,-73.98399353027344,40.75766014997031,-73.98330688476562,40.757140029270815
id44,44,19,154397,197037,-73.98399353027344,40.757140029270815,-73.98330688476562,40.75661990450191
id45,45,19,154397,197038,-73.98399353027344,40.75661990450191,-73.98330688476562,40.75609977566359
id46,46,19,154397,197039,-73.98399353027344,40.75609977566359,-73.98330688476562,40.75557964275589
id47,47,19,154397,197040,-73.98399353027344,40.75557964275589,-73.98330688476562,40.7550595057788
id48,48,19,154398,197033,-73.98330688476562,40.75922048765219,-73.98262023925781,40.75870037916101
id49,49,19,154398,197034,-73.98330688476562,40.75870037916101,-73.98262023925781,40.75818026660038
id50,50,19,154398,197035,-73.98330688476562,40.75818026660038,-73.98262023925781,40.75766014997031
id51,51,19,154398,197036,-73.98330688476562,40.75766014997031,-73.98262023925781,40.757140029270815
id52,52,19,154398,197037,-73.98330688476562,40.757140029270815,-73.98262023925781,40.75661990450191
id53,53,19,154398,197038,-73.98330688476562,40.75661990450191,-73.98262023925781,40.75609977566359
id54,54,19,154398,197039,-73.98330688476562,40.75609977566359,-73.98262023925781,40.75557964275589
id55,55,19,154398,197040,-73.98330688476562,40.75557964275589,-73.98262023925781,40.7550595057788
id56,56,19,154399,197033,-73.98262023925781,40.75922048765219,-73.98193359375,40.75870037916101
id57,57,19,154399,197034,-73.98262023925781,40.75870037916101,-73.98193359375,40.75818026660038
id58,58,19,154399,197035,-73.98262023925781,40.75818026660038,-73.98193359375,40.75766014997031
id59,59,19,154399,197036,-73.98262023925781,40.75766014997031,-73.98193359375,40.757140029270815
id60,60,19,154399,197037,-73.98262023925781,40.757140029270815,-73.98193359375,40.75661990450191
id61,61,19,154399,197038,-73.98262023925781,40.75661990450191,-73.98193359375,40.75609977566359
id62,62,19,154399,197039,-73.98262023925781,40.75609977566359,-73.98193359375,40.75557964275589
id63,63,19,154399,197040,-73.98262023925781,40.75557964275589,-73.98193359375,40.7550595057788
